0,7
1,9
2,11
3,13
4,15
5,17
6,19
7,20
8,21
9,23
10,26
11,22
12,26
13,27
14,25
15,22
16,26
17,27
18,30
19,26
20,29
21,30
22,28
23,24
24,28
25,30
26,32
27,30
28,32
29,30
30,28
31,24
32,28
33,30
34,32
35,32
36,36
37,34
38,32
39,28
40,32
41,34
42,36
43,36
44,34
45,32
46,30
47,26
48,30
49,32
50,34
51,36
52,38
53,38
54,36
55,32
56,36
57,38
58,38
59,36
60,34
61,32
62,30
63,26
64,30
65,32
66,34
67,36
68,38
69,40
70,38
71,34
72,38
73,40
74,38
75,40
76,38
77,36
78,34
79,30
80,34
81,36
82,38
83,40
84,40
85,44
86,43
87,39
88,43
89,42
90,40
91,38
92,36
93,34
94,32
95,28
96,32
97,34
98,36
99,38
100,40
101,40
102,43
103,39
104,42
105,45
106,46
107,43
108,42
109,40
110,38
111,34
112,38
113,40
114,42
115,43
116,44
117,44
118,42
119,38
120,42
121,42
122,40
123,38
124,36
125,34
126,32
127,28
128,32
129,34
130,36
131,38
132,40
133,42
134,43
135,39
136,43
137,44
138,46
139,43
140,42
141,42
142,40
143,36
144,40
145,42
146,40
147,44
148,46
149,42
150,46
151,43
152,44
153,46
154,44
155,42
156,40
157,38
158,36
159,32
160,36
161,38
162,40
163,42
164,42
165,46
166,46
167,42
168,46
169,44
170,44
171,47
172,49
173,47
174,45
175,41
176,45
177,47
178,49
179,45
180,49
181,47
182,45
183,41
184,45
185,44
186,42
187,40
188,38
189,36
190,34
191,30
192,34
193,36
194,38
195,40
196,42
197,42
198,45
199,41
200,44
201,47
202,49
203,45
204,46
205,47
206,45
207,41
208,45
209,47
210,49
211,49
212,50
213,51
214,49
215,45
216,48
217,50
218,48
219,46
220,44
221,42
222,40
223,36
224,40
225,42
226,44
227,46
228,48
229,48
230,46
231,45
232,49
233,48
234,46
235,48
236,46
237,46
238,44
239,40
240,44
241,46
242,44
243,45
244,44
245,46
246,45
247,41
248,45
249,44
250,42
251,40
252,38
253,36
254,34
255,30
256,34
257,36
258,38
259,40
260,42
261,44
262,45
263,41
264,45
265,47
266,49
267,45
268,49
269,47
270,45
271,41
272,45
273,47
274,49
275,49
276,52
277,50
278,48
279,45
280,48
281,46
282,48
283,46
284,44
285,44
286,42
287,38
288,42
289,44
290,42
291,46
292,48
293,44
294,48
295,49
296,46
297,50
298,52
299,48
300,52
301,51
302,49
303,45
304,49
305,50
306,52
307,49
308,50
309,48
310,49
311,45
312,49
313,48
314,46
315,44
316,42
317,40
318,38
319,34
320,38
321,40
322,42
323,44
324,44
325,48
326,49
327,45
328,49
329,46
330,50
331,49
332,50
333,50
334,48
335,44
336,48
337,50
338,48
339,48
340,46
341,48
342,48
343,49
344,52
345,55
346,55
347,53
348,51
349,49
350,47
351,43
352,47
353,49
354,51
355,53
356,52
357,53
358,51
359,47
360,51
361,53
362,52
363,51
364,51
365,49
366,47
367,43
368,47
369,49
370,51
371,47
372,51
373,49
374,47
375,43
376,47
377,46
378,44
379,42
380,40
381,38
382,36
383,32
384,36
385,38
386,40
387,42
388,44
389,44
390,47
391,43
392,46
393,49
394,50
395,47
396,51
397,49
398,47
399,43
400,47
401,49
402,51
403,51
404,48
405,52
406,51
407,47
408,51
409,50
410,53
411,53
412,51
413,49
414,47
415,43
416,47
417,49
418,51
419,53
420,55
421,56
422,52
423,51
424,53
425,52
426,52
427,54
428,52
429,53
430,51
431,47
432,51
433,52
434,50
435,53
436,56
437,52
438,53
439,49
440,50
441,52
442,50
443,48
444,46
445,44
446,42
447,38
448,42
449,44
450,46
451,48
452,50
453,52
454,48
455,49
456,53
457,55
458,56
459,53
460,54
461,50
462,51
463,47
464,51
465,53
466,55
467,54
468,52
469,50
470,52
471,51
472,52
473,50
474,48
475,50
476,48
477,48
478,46
479,42
480,46
481,48
482,46
483,50
484,46
485,48
486,51
487,47
488,50
489,48
490,52
491,51
492,51
493,49
494,47
495,43
496,47
497,49
498,51
499,47
500,51
501,49
502,47
503,43
504,46
505,44
506,42
507,40
508,38
509,36
510,34
511,30
512,34
513,36
514,38
515,40
516,42
517,44
518,46
519,43
520,47
521,49
522,51
523,47
524,51
525,49
526,47
527,43
